edad,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,hacinamiento,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,log_alquiler,log_ingreso_pc,jefe_anios_estudio,jefe_edad,jefe_sexo,trabajo_bin,area_nombre_Urbana,depto_nombre_Chuquisaca,depto_nombre_Cochabamba,depto_nombre_La Paz,depto_nombre_Oruro,depto_nombre_Pando,depto_nombre_Potosí,depto_nombre_Santa Cruz,depto_nombre_Tarija,asistencia_real,pred_lr,proba_lr,pred_rf,proba_rf
15.0,0,0,1,1,1.5,3,1,1,1,6.90875477931522,0.0,12.0,35.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7553219621695408,1,0.8027330519292383
7.0,1,0,1,1,2.0,3,1,1,0,5.993961427306569,2.772588722239781,12.0,29.0,1.0,0,False,False,False,False,False,False,False,True,False,0,1,0.5555439993517555,1,0.6117924893599916
19.0,1,1,1,1,2.0,2,1,1,0,5.303304908059076,6.821834216474498,2.0,50.0,2.0,0,False,False,False,False,True,False,False,False,False,1,0,0.40970992054447175,0,0.4079038393626447
17.0,0,0,1,1,1.4,3,1,1,1,7.741099090035366,6.572682063274631,15.0,43.0,1.0,0,True,False,False,False,False,False,False,True,False,0,0,0.4711648007174496,0,0.49810593319331276
17.0,0,0,1,1,2.0,3,1,1,0,5.017279836814924,5.993961427306569,1.0,42.0,2.0,0,True,False,False,False,True,False,False,False,False,0,0,0.44901037819880174,0,0.4051225415327162
17.0,1,1,1,1,1.6666666666666667,2,0,1,1,4.61512051684126,6.523562306149512,3.0,45.0,1.0,0,False,False,False,False,False,False,True,False,False,1,0,0.41048134613478915,0,0.43052318817471397
10.0,0,0,1,1,2.0,3,1,1,1,6.2166061010848646,0.0,17.0,33.0,1.0,0,True,False,False,False,False,False,False,False,False,1,0,0.46251063203001513,0,0.455548758633222
11.0,1,0,1,1,1.3333333333333333,3,1,1,1,6.2166061010848646,0.0,12.0,35.0,1.0,0,True,False,False,False,False,False,False,True,False,0,0,0.49289257503288686,0,0.4454985113952579
10.0,1,1,1,1,2.0,1,1,1,1,5.993961427306569,9.96415923206886,10.0,44.0,1.0,1,False,False,False,False,False,False,False,True,False,1,0,0.2656992546358454,0,0.3208281636048853
7.0,1,0,1,1,3.5,2,1,1,1,2.3978952727983707,6.90875477931522,5.0,32.0,1.0,0,False,False,True,False,False,False,False,False,False,0,0,0.38954071004452256,0,0.2860945353512062
13.0,0,0,1,1,0.5,2,1,1,1,7.601402334583733,7.419180722820095,19.0,50.0,1.0,0,True,False,True,False,False,False,False,False,False,1,0,0.3663583163892752,0,0.4473468151442481
6.0,0,0,1,1,2.0,3,1,1,1,6.2166061010848646,6.90875477931522,5.0,48.0,2.0,0,True,False,False,False,True,False,False,False,False,0,0,0.3673959055878072,0,0.3389338720411162
6.0,1,0,1,0,3.0,3,1,1,0,6.2166061010848646,0.0,12.0,38.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7753862465257476,1,0.7588716065027544
14.0,1,1,1,1,1.6666666666666667,2,0,1,0,3.9318256327243257,7.244941546337007,5.0,61.0,2.0,0,False,False,False,False,True,False,False,False,False,0,0,0.39485436835036813,0,0.3210344640604862
7.0,1,0,1,1,5.0,3,1,1,0,6.2166061010848646,5.942799375126701,2.0,47.0,1.0,0,True,False,False,False,False,False,False,False,True,0,0,0.4918693618744814,0,0.45969323701579334
15.0,0,0,1,1,1.0,3,1,1,1,6.2166061010848646,0.0,17.0,43.0,1.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7669765872638736,1,0.8524378335699838
12.0,1,1,1,1,2.3333333333333335,3,1,1,0,6.2166061010848646,3.8741727812970486,6.0,53.0,2.0,0,True,True,False,False,False,False,False,False,False,0,0,0.4368931983334765,0,0.38601889475709605
5.0,0,0,1,0,1.6666666666666667,3,1,1,1,6.2166061010848646,7.273092595999522,12.0,39.0,1.0,0,True,False,True,False,False,False,False,False,False,0,0,0.37094382063695847,0,0.381162327823518
8.0,0,0,1,1,0.2857142857142857,3,1,1,1,8.45553053102413,0.0,14.0,44.0,1.0,0,True,False,True,False,False,False,False,False,False,0,0,0.4266873423324541,0,0.36164477475829016
17.0,0,0,1,1,1.5,3,1,1,0,6.2166061010848646,0.0,15.0,45.0,1.0,0,True,False,False,False,False,False,True,False,False,1,1,0.5845528287372835,1,0.5532368015770011
16.0,1,0,1,1,1.5,3,1,1,0,6.2166061010848646,0.0,12.0,33.0,2.0,0,True,False,False,False,False,False,False,False,False,0,1,0.528542057580425,0,0.48760146954040734
11.0,1,0,1,1,7.0,2,1,1,0,5.303304908059076,2.9740707767728116,8.0,33.0,1.0,0,True,False,True,False,False,False,False,False,False,0,0,0.4855845126479088,0,0.44975253784882957
15.0,1,0,1,1,0.8,3,1,1,1,6.398594934535208,4.836281906951478,12.0,41.0,1.0,0,True,False,False,False,False,False,False,True,False,0,0,0.47626719664092637,0,0.48388944404865747
11.0,1,0,1,1,0.5,3,1,1,1,6.2166061010848646,0.0,3.0,65.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.765513046125597,1,0.6738521030856102
6.0,1,0,1,0,2.5,2,1,1,1,6.2166061010848646,0.0,0.0,46.0,2.0,0,True,False,True,False,False,False,False,False,False,1,0,0.3173831331644481,0,0.399093589860697
14.0,1,0,1,1,1.75,3,1,1,1,6.2166061010848646,5.371966049571182,12.0,33.0,2.0,0,True,False,False,True,False,False,False,False,False,1,1,0.7480881680109216,1,0.7804393825529451
18.0,0,0,1,1,1.5,2,1,1,1,6.2166061010848646,7.7554816189874085,8.0,23.0,1.0,1,False,False,False,False,False,False,False,False,True,0,0,0.18212872279980014,0,0.20455376401373196
15.0,1,0,1,1,1.75,2,1,1,1,6.2166061010848646,3.2851984677992734,12.0,37.0,1.0,0,False,False,False,False,False,False,True,False,False,0,0,0.3813769924756049,0,0.3290737316934261
