folio,nro,depto,area,factor,upm,estrato,sexo,edad,parentesco,idioma_materno,indigena,lee_escribe,nivel_educ,se_matriculo,nivel_matricula,asiste_clases,en_vacaciones,anios_estudio,trabajo,categoria_ocup,ingreso_lab,salario_liq,asistencia_escolar,sexo_bin,indigena_bin,idioma_originario,lee_escribe_bin,trabajo_bin,depto_viv,area_viv,totper,mat_pared,mat_techo,mat_piso,procedencia_agua,tipo_banio,desague_banio,electricidad,combustible_cocina,n_cuartos,n_cuartos_dormir,internet,alquiler_estimado,hacinamiento,acceso_agua,acceso_electricidad,acceso_banio,indice_servicios,piso_adecuado,pared_adecuada,internet_bin,jefe_sexo,jefe_edad,jefe_nivel_educ,jefe_anios_estudio,jefe_categoria_ocup,jefe_ingreso_lab,ingreso_total_hogar,ingreso_percapita,log_ingreso_pc,log_alquiler,depto_nombre,area_nombre
111-000071-A-0301,5.0,1.0,1.0,264.5347598737244,111-000071-A,111,2.0,15.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,10.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,500.0,1.25,1,1,1,3,1,1,1,1.0,44.0,21.0,5.0,1.0,,1300.0,260.0,5.564520407322694,6.2166061010848646,Chuquisaca,Urbana
111-000071-A-0331,6.0,1.0,1.0,264.5347598737244,111-000071-A,111,2.0,12.0,3.0,6.0,2.0,1.0,41.0,1.0,42.0,4.0,,6.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,6.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,800.0,1.0,1,1,1,3,1,1,1,1.0,51.0,23.0,12.0,3.0,100.0,1300.0,216.66666666666666,5.382964840608321,6.68586094706836,Chuquisaca,Urbana
111-000071-A-0371,5.0,1.0,1.0,264.5347598737244,111-000071-A,111,2.0,17.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,11.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,5.0,1.0,3.0,8.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,800.0,0.8333333333333334,1,1,1,3,1,1,1,1.0,47.0,21.0,5.0,3.0,4160.0,4460.0,892.0,6.794586580876499,6.68586094706836,Chuquisaca,Urbana
111-000135-A-0011,3.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,12.0,12.0,27.0,1.0,1.0,41.0,1.0,41.0,1.0,,5.0,2.0,,,,1,1,1,1,1,0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,200.0,3.0,1,1,1,3,1,1,1,1.0,69.0,21.0,4.0,,,50.0,16.666666666666668,2.8716796248840124,5.303304908059076,Chuquisaca,Urbana
111-000135-A-0021,3.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,6.0,3.0,6.0,2.0,1.0,13.0,1.0,13.0,4.0,,0.0,,,,,0,1,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,500.0,5.0,1,1,1,3,1,1,0,1.0,26.0,42.0,12.0,1.0,,0.0,0.0,0.0,6.2166061010848646,Chuquisaca,Urbana
111-000135-A-0051,5.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,7.0,3.0,6.0,2.0,1.0,41.0,1.0,41.0,4.0,,1.0,2.0,,,,0,1,0,1,1,0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1000.0,1.25,1,1,1,3,1,1,1,1.0,43.0,21.0,4.0,1.0,,0.0,0.0,0.0,6.90875477931522,Chuquisaca,Urbana
111-000135-A-0061,2.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,14.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,8.0,1.0,6.0,,,0,1,0,1,1,1,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,2500.0,0.6,1,1,1,3,1,1,1,2.0,48.0,23.0,10.0,3.0,500.0,500.0,166.66666666666666,5.121977881431629,7.824445930877619,Chuquisaca,Urbana
111-000135-A-0061,3.0,1.0,1.0,123.97995011625682,111-000135-A,111,1.0,12.0,3.0,6.0,2.0,1.0,41.0,1.0,42.0,4.0,,6.0,1.0,6.0,,,0,1,0,1,1,1,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,2500.0,0.6,1,1,1,3,1,1,1,2.0,48.0,23.0,10.0,3.0,500.0,500.0,166.66666666666666,5.121977881431629,7.824445930877619,Chuquisaca,Urbana
111-000135-A-0081,3.0,1.0,1.0,123.97995011625682,111-000135-A,111,2.0,14.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,7.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,350.0,2.5,1,1,1,3,1,1,1,1.0,36.0,32.0,12.0,3.0,150.0,1150.0,230.0,5.442417710521793,5.860786223465865,Chuquisaca,Urbana
111-000135-A-0081,4.0,1.0,1.0,123.97995011625682,111-000135-A,111,2.0,12.0,3.0,6.0,2.0,1.0,42.0,1.0,42.0,4.0,,7.0,2.0,,,,0,0,0,1,1,0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,350.0,2.5,1,1,1,3,1,1,1,1.0,36.0,32.0,12.0,3.0,150.0,1150.0,230.0,5.442417710521793,5.860786223465865,Chuquisaca,Urbana
